Time,cart_e,cart_n,cart_u,vel_e,vel_n,vel_u,desired_e,desired_n,desired_u
1613113231.782734,0.292915711610954,0.5753564604411417,6.002,0.07480353862047195,-0.03346758708357811,0.009149225428700447,0.23480353862047199,-0.19346758708357814,-0.0031432430777250157
1613113231.891996,0.292915711610954,0.5753564604411417,6.004,0.10716842114925385,-0.013201147317886353,-0.023863786831498146,0.2671684211492539,-0.17320114731788638,-0.001740013314132166
1613113231.993713,0.292915711610954,0.5753564604411417,6.004,0.10716842114925385,-0.013201147317886353,-0.023863786831498146,0.2671684211492539,-0.17320114731788638,-0.001740013314132166
1613113232.094459,0.31461317142610995,0.5753564598894304,5.997,0.15033245086669922,-0.07459544390439987,-0.03788568452000618,0.31033245086669925,-0.2345954439043999,0.00732030456404709
1613113232.194815,0.3254619009123205,0.5642919125304693,5.994,0.2127445787191391,-0.1464540958404541,-0.004043102264404297,0.37274457871913913,-0.30645409584045413,0.006905948096666835
1613113232.299311,0.35800809274933426,0.5421628186114411,5.999,0.30006781220436096,-0.17846791446208954,0.03930487483739853,0.460067812204361,-0.33846791446208957,-0.003160027191856467
1613113232.397689,0.3905542832460913,0.5310982726327929,6.002,0.35227301716804504,-0.24542711675167084,-0.039660729467868805,0.460067812204361,-0.40542711675167087,0.002120071833609254
1613113232.493269,0.4231004734915316,0.50896917840781,6.002,0.39184078574180603,-0.30040308833122253,-0.06652668863534927,0.5,-0.46040308833122257,0.005017103879492923
1613113232.595094,0.4231004734915316,0.50896917840781,6.002,0.39184078574180603,-0.30040308833122253,-0.06652668863534927,0.5,-0.46040308833122257,0.005017103879492923
1613113232.69495,0.48819285562759696,0.46471099024274104,6.003,0.48260611295700073,-0.40517759323120117,0.028195805847644806,0.5,-0.45741950844196155,-0.006275417654945596
1613113232.801098,0.5424365071512675,0.4093882547855693,6.002,0.5276756882667542,-0.4762379229068756,0.020903656259179115,0.5,-0.390100809122848,-0.004410756460915093
1613113232.890468,0.607528888723107,0.3430009728572789,6.001,0.5496774911880493,-0.5127452611923218,-0.029749251902103424,0.5,-0.35274526119232175,0.0021296174570185115
1613113232.996735,0.6726212708620288,0.287678237354002,5.997,0.6125540137290955,-0.47114238142967224,-0.0063807163387537,0.5,-0.3111423814296722,0.003923035110287503
1613113233.093307,0.6726212708620288,0.287678237354002,5.997,0.6125540137290955,-0.47114238142967224,-0.0063807163387537,0.5,-0.3111423814296722,0.003923035110287503
1613113233.19528,0.7485623838141104,0.2212909554228587,5.992,0.6024566888809204,-0.4263612627983093,0.08693012595176697,0.5,-0.2663612627983093,-0.0007472950003058316
1613113233.294586,0.8136547641770492,0.1880973153100108,5.986,0.5713528990745544,-0.3712484538555145,-0.02854865789413452,0.5,-0.2112484538555145,0.01817507650354217
1613113233.387617,0.8787471471239195,0.15490367533083396,5.98,0.609133780002594,-0.31932488083839417,0.05667027086019516,0.5,-0.15932488083839413,0.015455648386022963
1613113233.486665,0.9221420665323936,0.12171003476490055,5.974,0.5463343262672424,-0.34689411520957947,0.03052721545100212,0.5,-0.18689411520957944,0.0247446966755345
1613113233.592289,0.9872344493323136,0.08851639565018798,5.974,0.5463343262672424,-0.34689411520957947,0.03052721545100212,0.5,-0.18689411520957944,0.0247446966755345
1613113233.692003,0.9872344493323136,0.08851639565018798,5.974,0.564884603023529,-0.32400280237197876,0.03250919282436371,0.5,-0.16400280237197873,0.024530974473060706
1613113233.796778,1.0631755646571115,0.044258209332789976,5.985,0.6125058531761169,-0.2584819495677948,0.08527794480323792,0.4999999999999998,-0.09848194956779477,0.006979161503655567
1613113233.891749,1.1282679477351543,0.02212911777336825,5.993,0.6045540571212769,-0.24346855282783508,-0.001869015395641327,0.5,-0.08346855282783505,0.007749838351548277
1613113233.995193,1.1933603309791558,0.011064573048974291,5.998,0.6270585060119629,-0.21266691386699677,-0.0017914436757564545,0.5,-0.052666913866996734,0.0023498327478716826
1613113234.101819,1.2584527141054833,2.8765770919439485e-08,6.005,0.6048786044120789,-0.16249239444732666,0.04738599434494972,0.5,-0.002492394447326629,-0.0105014060610597
1613113234.199515,1.31269636604966,-0.011064515987356804,6.008,0.5945111513137817,-0.12692667543888092,0.008945032954216003,0.5,0.025618040130599484,-0.009591193420052685
1613113234.291915,1.31269636604966,-0.011064515987356804,6.008,0.5945111513137817,-0.12692667543888092,0.008945032954216003,0.5,0.025618040130599484,-0.009591193420052685
