Time,cart_e,cart_n,cart_u,vel_e,vel_n,vel_u,desired_e,desired_n,desired_u
1613115972.318357,0.11933605938282454,0.3319365200401786,5.955,-0.020224645733833313,-0.06405191123485565,0.043680187314748764,0.17279604293406026,-0.24405191123485567,0.04381460981491591
1613115972.330908,0.11933605938282454,0.3319365200401786,5.955,-0.020224645733833313,-0.06405191123485565,0.043680187314748764,0.15977535426616685,-0.24405191123485567,0.04381460981491591
1613115972.437819,0.11933605938282454,0.3319365200401786,5.95,0.017137333750724792,-0.01154615543782711,0.05234605073928833,0.19713733375072495,-0.19154615543782713,0.04827178618079765
1613115972.538802,0.11933605925844114,0.3208719693595771,5.944,-0.006539166439324617,-0.06858322024345398,0.006596576422452927,0.17346083356067554,-0.248583220243454,0.059675049843241526
1613115972.646069,0.11933605917413108,0.30980741865676625,5.94,0.02647409215569496,-0.16433647274971008,0.06147812306880951,0.20647409215569512,-0.31635320064938355,0.058070330754000685
1613115972.740096,0.13018479132140345,0.2876783176059575,5.953,0.1411697268486023,-0.21107055246829987,0.19781900942325592,0.20647409215569512,-0.29249076771291493,0.02935004282056787
1613115972.855034,0.1627309895586207,0.26554921730215597,5.97,0.1988094598054886,-0.25107908248901367,0.09082389622926712,0.32116972684860245,-0.2592746356603736,0.022556048420948237
1613115972.940742,0.1627309895586207,0.26554921730215597,5.97,0.1988094598054886,-0.25107908248901367,0.09082389622926712,0.37880945980548875,-0.2592746356603736,0.022556048420948237
1613115973.03157,0.20612592111481137,0.24342011656780232,5.982,0.2564738094806671,-0.3163699209690094,0.020595453679561615,0.4364738094806673,-0.22837170805806367,0.01718904119786019
1613115973.138795,0.26036958464868143,0.2102264650438337,5.981,0.3007301390171051,-0.313221275806427,-0.03198333457112312,0.48073013901710526,-0.19291758598584086,0.023937088190139365
1613115973.23429,0.3037645155588749,0.17703281295849702,5.97,0.33568650484085083,-0.30646583437919617,0.062232546508312225,0.515686504840851,-0.15785239430815595,0.02563913418983208
1613115973.352031,0.3363107132301677,0.14383916092566176,5.966,0.4228602945804596,-0.2097994089126587,0.02633693441748619,0.515686504840851,-0.13248255733327574,0.03382317180406352
1613115973.439044,0.3905543765047282,0.13277461100102014,5.968,0.4647443890571594,-0.23395204544067383,0.08020135015249252,0.6447443890571596,-0.1179468946893528,0.025858163813810973
1613115973.545042,0.45564677260352754,0.12171006143273926,5.974,0.52959805727005,-0.1917293667793274,0.07359367609024048,0.7095980572700503,-0.1105686696148225,0.020100718926707978
1613115973.645184,0.5315879016737867,0.11064551204970215,5.976,0.5597442388534546,-0.14244210720062256,-0.06123135983943939,0.7095980572700503,-0.1039522383979882,0.032482625959481495
1613115973.74234,0.5315879016737867,0.11064551204970215,5.976,0.5597442388534546,-0.14244210720062256,-0.06123135983943939,0.7397442388534549,-0.1039522383979882,0.032482625959481495
1613115973.840888,0.618377764638244,0.09958096333911427,5.973,0.6198590397834778,-0.139609232544899,0.03481030464172363,0.7998590397834778,-0.09232650073973253,0.025361167269965963
1613115973.940135,0.7160163599589371,0.08851641474712477,5.979,0.6820622086524963,-0.1353030502796173,0.013002077117562294,0.8620622086524964,-0.08085963411852268,0.021242840875517522
1613115974.049099,0.8245036885547102,0.06638731648021926,5.983,0.7645467519760132,-0.13828682899475098,0.05082061141729355,0.9445467519760132,-0.05667545492125185,0.01285144914352642
1613115974.157168,0.9221422826184194,0.05532276891249307,5.984,0.7964654564857483,-0.13330426812171936,0.013072170317173004,0.9445467519760132,-0.057212738493736814,0.015843641701745587
1613115974.247587,1.019780877845772,0.044258221617588425,5.984,0.8429884314537048,-0.09202021360397339,0.03042731061577797,0.9764654564857483,-0.037802088106695414,0.013972188042025732
1613115974.354414,1.1174194752667281,0.03319367481375826,5.991,0.8977053165435791,-0.11259330064058304,0.03942055255174637,1.022988431453705,-0.023652421731608045,0.005454124277016511
1613115974.435613,1.1174194752667281,0.03319367481375826,5.991,0.8977053165435791,-0.11259330064058304,0.03942055255174637,1.0777053165435788,-0.023652421731608045,0.005454124277016511
1613115974.53822,1.2367555385369937,0.022129129210990386,6.002,0.9888774752616882,-0.05133325606584549,0.05174044147133827,1.1688774752616882,-0.018327053719007943,-0.007735973863158124
1613115974.638507,1.3560915984677873,0.022129134606855488,6.007,0.9799112677574158,-0.05165371298789978,-0.0964011400938034,1.1599112677574157,-0.018292503765038725,0.0028469092959912726
1613115974.73821,1.507973860188741,0.022129143004933207,6.01,1.0354554653167725,-0.0475248247385025,-0.05748342350125313,1.2154554653167724,-0.01873774247000401,-0.004584682193190393
1613115974.848495,1.6598561202473485,0.011064600849074194,6.013,1.0806591510772705,-0.06179530918598175,-0.019309617578983307,1.2154554653167724,-0.005267708495627458,-0.011936055699546939
1613115974.940361,1.757494716652226,5.576247664197136e-08,6.012,1.1804271936416626,-0.037705469876527786,-0.008809972554445267,1.2606591510772704,0.004065826885228173,-0.011989933829809101
1613115975.040614,1.909376972311046,-0.01106448508305221,6.006,1.1804271936416626,-0.037705469876527786,-0.008809972554445267,1.3604271936416625,0.015997032915380103,-0.0055199648378439345
1613115975.148503,1.909376972311046,-0.01106448508305221,6.006,1.2194952964782715,-0.0020679794251918793,-0.05669529736042023,1.3994952964782714,0.012154141945853049,-0.0003563553934293936
1613115975.238153,2.061259232891881,-0.022129024621363073,6.001,1.247711420059204,-0.021400386467576027,-0.04255044460296631,1.427711420059204,0.02617001446813314,0.003510006120931225
1613115975.339487,2.2131414896210044,-0.033193563216470635,5.996,1.3447530269622803,0.02291710302233696,0.022672858089208603,1.4999999999999967,0.033322338358233894,0.0018684345147030705
1613115975.44102,2.3758724839442933,-0.022128999044463492,6.002,1.37690007686615,0.03161992132663727,0.0023198872804641724,1.4999999999999978,0.02045265776495783,-0.0024068163101460425
1613115975.553364,2.5494522129740167,-0.02212898359210951,6.01,1.412509560585022,0.03650560975074768,0.018061574548482895,1.4999999999999991,0.019925803558775955,-0.012730912107855642
1613115975.643904,2.5494522129740167,-0.02212898359210951,6.01,1.412509560585022,0.03650560975074768,0.018061574548482895,1.4999999999999991,0.019925803558775955,-0.012730912107855642
1613115975.738794,2.766426872316199,-0.011064412086373494,6.023,1.4325414896011353,0.06641198694705963,-0.036423590034246445,1.5000000000000004,0.004769675581489524,-0.020873889500908
1613115975.837686,2.9725527961286424,-0.011064390683360613,6.021,1.456723690032959,0.07339730113744736,-0.02796078659594059,1.5000000000000004,0.004016406398502115,-0.019629801100768625
1613115975.9339,3.1461325125070787,-0.011064371667142785,6.008,1.4680662155151367,-0.005509485490620136,-0.03950601816177368,1.5000000000000004,0.01252512693843324,-0.0043665801142425695
1613115976.044013,3.319712233549463,-0.022128901625200866,5.997,1.4341999292373657,0.012280173599720001,-0.07939925789833069,1.5000000000000004,0.01252512693843324,0.011796830105771417
1613115976.137832,3.319712233549463,-0.022128901625200866,5.997,1.4341999292373657,0.012280173599720001,-0.07939925789833069,1.5000000000000004,0.022538012183449724,0.011796830105771417
1613115976.238058,3.5149894231876866,-0.022128877230220945,5.993,1.4308439493179321,-0.013688856735825539,0.062358010560274124,1.4470367977123546,0.025338299561362455,0.0008240572451989326
1613115976.351077,3.6885691497408484,-0.03319340523058419,5.997,1.4642956256866455,0.03840641304850578,0.08540498465299606,1.2842956256866456,0.03165191207133185,-0.005974475545087043
